id,name,job,department,gender
101,Bruno Tarrière,Sound Re-Recording Mixer,Sound,0
101,Pascal Chaumeil,First Assistant Director,Directing,2
101,Peter Bucossi,Stunt Coordinator,Crew,2
680,Quentin Tarantino,Director,Directing,2
680,Quentin Tarantino,Screenplay,Writing,2
680,Roger Avary,Screenplay,Writing,2
680,Lawrence Bender,Producer,Production,2
680,Danny DeVito,Executive Producer,Production,2
680,Michael Shamberg,Executive Producer,Production,2
680,Stacey Sher,Executive Producer,Production,1
680,Andrzej Sekula,Director of Photography,Camera,2
680,Sally Menke,Editor,Editing,1
680,Gary M. Zuckerbrod,Casting,Production,2
680,Ronnie Yeskel,Casting,Production,1
680,David Wasco,Production Design,Art,2
680,Charles Collum,Art Direction,Art,2
680,Sandy Reynolds-Wasco,Set Decoration,Art,0
680,Betsy Heimann,Costume Design,Costume & Make-Up,1
680,Vance Trussell,Gaffer,Lighting,0
680,Paul Hellerman,Production Manager,Production,2
680,Richard N. Gladstein,Co-Executive Producer,Production,2
680,Bob Weinstein,Co-Executive Producer,Production,2
680,Harvey Weinstein,Co-Executive Producer,Production,2
680,Karyn Rachtman,Music Supervisor,Sound,0
680,Kathy Nelson,Music Supervisor,Sound,1
680,Michelle Bühler,Makeup Artist,Costume & Make-Up,0
680,Bill Fletcher,Wigmaker,Costume & Make-Up,0
680,Audrey Futterman-Stern,Key Hair Stylist,Costume & Make-Up,0
680,Heidi Vogel,Post Production Supervisor,Crew,0
680,Ken Lesco,Stunt Coordinator,Crew,0
680,Barbara Harris,ADR & Dubbing,Sound,0
680,Ruth Lambert,Casting Associate,Production,1
680,Jeff Olan,Casting,Production,0
680,Jacqueline Aronson,Costume Supervisor,Costume & Make-Up,0
680,Mary Claire Hannan,Assistant Costume Designer,Costume & Make-Up,1
680,Patia Prouty,Set Costumer,Costume & Make-Up,0
680,Jennifer Beals,Thanks,Crew,1
680,Ziad Doueiri,First Assistant Camera,Camera,0
680,Donald Likovich,Assistant Editor,Editing,0
680,Bruce Jagoda,Electrician,Lighting,0
680,Mike Stanwick,Color Timer,Editing,0
680,Mary Ramos,Music,Sound,0
680,Dean Beville,Sound Editor,Sound,0
680,Haley Sweet,Location Manager,Production,0
680,Andrew Dickler,Editorial Staff,Crew,2
680,Linda Arnold,Hairstylist,Costume & Make-Up,0
680,Emily Wolfe,Art Department Coordinator,Art,1
680,Samantha Gore,Assistant Art Director,Art,0
680,Brian Markey,Construction Coordinator,Art,0
680,Ray Maxwell,Construction Foreman,Art,0
680,Marc Gillson,Lead Painter,Art,0
680,Peter Borck,Leadman,Art,2
680,Adam Silver,Location Scout,Art,2
680,Giuseppe Maini III,Painter,Art,0
680,Daniel Bradford,Set Designer,Art,2
680,Michael Levine,Camera Operator,Camera,0
680,Mark Shane Davis,Key Grip,Camera,0
680,Chris Ahern,Grip,Camera,0
680,Bob Gorelick,Steadicam Operator,Camera,2
680,Iain Jones,Hair Designer,Costume & Make-Up,0
680,Joseph W. Grafmuller,Set Dressing Artist,Costume & Make-Up,0
680,Gary L. Brennan,Carpenter,Crew,0
680,Derek Hurd,Craft Service,Crew,0
680,Alonzo Brown Jr.,Driver,Crew,0
680,Angelo de la Cruz,Loader,Crew,0
680,Thomas L. Bellissimo,Makeup Effects,Crew,2
680,Ben Parker,Post Production Assistant,Crew,0
680,Jonathan R. Hodges,Property Master,Art,0
680,Ruben Cortez,Security,Crew,0
680,Iain Jones,Set Production Assistant,Crew,0
680,Matthew C. Beville,Sound Recordist,Sound,0
680,Larry Fioritto,Special Effects Coordinator,Crew,0
680,Cameron,Stand In,Crew,0
680,Cameron,Stunts,Crew,0
680,Derek Raser,Transportation Coordinator,Crew,0
680,Deborah Wuliger,Unit Publicist,Crew,0
680,Francis R. Mahony III,First Assistant Director,Directing,2
680,Martin Kitrosser,Script Supervisor,Directing,2
680,Tatiana S. Riegel,First Assistant Editor,Editing,1
680,Anthony Hall,Best Boy Electric,Lighting,0
680,Marc Meisenheimer,Rigging Gaffer,Lighting,0
680,Michael Stocks,Rigging Grip,Lighting,0
680,Julia Zane,Production Accountant,Production,0
680,Anna-Lisa Nilsson,Production Coordinator,Production,1
680,Larry Scharf,Boom Operator,Sound,0
680,Dana Gustafson,Assistant Sound Editor,Sound,0
680,Ezra Dweck,Foley,Sound,0
680,Rolf Johnson,Music Editor,Sound,0
680,Ken King,Production Sound Mixer,Sound,0
680,Stephen Hunter Flick,Supervising Sound Editor,Sound,0
278,Frank Darabont,Director,Directing,2
278,Niki Marvin,Producer,Production,0
278,Thomas Newman,Original Music Composer,Sound,2
278,Roger Deakins,Director of Photography,Camera,2
278,Richard Francis-Bruce,Editor,Editing,2
278,Julie Lichter,Casting,Production,0
278,Terence Marsh,Production Design,Art,2
278,Deborah Aquila,Casting,Production,1
278,Frank Darabont,Writer,Writing,2
278,Stephen King,Novel,Writing,2
278,Liz Glotzer,Executive Producer,Production,1
278,David V. Lester,Executive Producer,Production,2
278,Michael Seirton,Set Decoration,Art,2
278,Paul J. Zydel,ADR & Dubbing,Sound,0
278,John Soukup,Sound Recordist,Crew,2
278,Jack Keller,Sound Recordist,Crew,2
278,Richie Ford,Rigging Gaffer,Lighting,0
278,Bobby Mancuso,Cinematography,Crew,0
278,David Orr,Color Timer,Editing,0
278,Barbara Harris,ADR & Dubbing,Sound,0
278,Monty Westmore,Makeup Artist,Costume & Make-Up,2
278,Robert C. Lusted,Assistant Editor,Editing,0
278,Peter Landsdown Smith,Art Direction,Art,2
278,Elizabeth McBride,Costume Design,Costume & Make-Up,1
278,Roy Bryson,Hairstylist,Costume & Make-Up,0
278,Kokayi Ampah,Production Supervisor,Production,0
278,Sue Bea Montgomery,Production Supervisor,Production,1
278,John R. Woodward,Assistant Director,Directing,0
278,Thomas Schellenberg,Assistant Director,Directing,0
278,Jesse V. Johnson,Assistant Director,Directing,2
278,Bob Williams,Special Effects,Crew,0
