id,type,name,character,order,job,department,gender
807,crew,Anne Kopelson,,,Executive Producer,Production,1
807,crew,Gary Wissner,,,Art Direction,Art,2
807,crew,Danny Cangemi,,,Special Effects Supervisor,Visual Effects,0
807,crew,Hugo Santiago,,,Set Designer,Art,0
807,crew,Joe Fineman,,,Executive In Charge Of Post Production,Production,0
807,crew,Ellen Segal,,,Music Editor,Sound,0
807,crew,Peter Albiez,,,Special Effects Coordinator,Crew,0
807,crew,Barry Chusid,,,Assistant Art Director,Art,2
807,crew,Charles A. Tamburro,,,Additional Photography,Camera,0
807,crew,Aisha Coley,,,Casting Associate,Production,0
807,crew,Michele Platt,,,Associate Producer,Production,0
807,crew,John Nutt,,,Dialogue Editor,Editing,0
807,crew,Conrad W. Hall,,,Camera Operator,Camera,2
807,crew,Richard Saperstein,,,Co-Executive Producer,Production,2
807,crew,Stephen Joel Brown,,,Co-Producer,Production,2
807,crew,Nana Greenwald,,,Co-Producer,Production,0
807,crew,Chris Gibbin,,,Leadman,Art,0
807,crew,Ric Keeley,,,Post Production Supervisor,Crew,0
807,crew,Ted Zachary,,,Executive In Charge Of Production,Production,0
807,crew,Mark Graziano,,,Post Production Supervisor,Crew,0
807,crew,Allan Wertheim,,,Unit Production Manager,Production,0
807,crew,Rob Bottin,,,Makeup Effects,Crew,2
807,crew,William C. Gerrity,,,Line Producer,Production,2
807,crew,Patrick Dodd,,,Supervising Sound Editor,Sound,2
807,crew,Monty Westmore,,,Makeup Artist,Costume & Make-Up,2
807,crew,William Davidson,,,Construction Foreman,Art,2
807,crew,Larry Velasco,,,Set Costumer,Costume & Make-Up,0
807,crew,Jean Ann Black,,,Makeup Department Head,Costume & Make-Up,0
807,crew,Elizabeth Lapp,,,Set Designer,Art,0
807,crew,Elinor Bardach,,,Costume Supervisor,Costume & Make-Up,0
807,crew,Russell McEntyre,,,Transportation Coordinator,Crew,0
807,crew,Wayne Stone,,,Transportation Captain,Crew,0
807,crew,Marvin E. Lewis,,,Boom Operator,Sound,0
807,crew,Marsha Bozeman,,,Set Costumer,Costume & Make-Up,0
807,crew,David Emmerichs,,,Steadicam Operator,Camera,0
807,crew,Robert J. Litt,,,Sound Re-Recording Mixer,Sound,2
807,crew,Elliot Tyson,,,Sound Re-Recording Mixer,Sound,2
807,crew,Lori Rowbotham,,,Set Designer,Art,0
807,crew,Wendy Cox,,,Production Coordinator,Production,1
