id,name,character,order,gender
11,Fred Wood,Cantina Patron (uncredited),104,0
11,Colin Higgins,Rebel Pilot (uncredited),105,0
101,Jean Reno,Léon Montana,0,2
101,Natalie Portman,Mathilda Lando,1,1
101,Gary Oldman,Norman Stansfield,2,2
101,Danny Aiello,Tony,3,2
101,Peter Appel,Malky,4,2
101,Michael Badalucco,Mathilda's Father,5,2
101,Ellen Greene,Mathilda's Mother,6,1
101,Elizabeth Regen,Mathilda's Sister,7,0
101,Carl J. Matusovich,Mathilda's Brother,8,2
101,Eric Challier,Bodyguard Chief,9,2
101,Willi One Blood,1St Stansfield Man,10,0
101,Don Creech,2nd Stansfield man,11,2
101,Keith A. Glascoe,3rd Stansfield man (Benny),12,0
101,Jernard Burks,Stansfield man,13,2
101,Matt De Matt,Stansfield man,14,2
101,Frank Senger,Fatman,15,2
101,Stuart Rudin,Leon's Taxi driver,16,0
101,Lucius Wyatt 'Cherokee',Tonto,17,2
101,Maïwenn,Blond Babe,18,1
101,Luc Bernard,Mickey,19,2
101,Joseph Malerba,Stairway Swat,20,2
101,Adam Busch,Manolo,21,2
101,Jessie Keosian,Old Lady,22,1
101,George Martin,Receptionist,23,2
101,Alex Dezen,Ball Kid,24,2
101,Kent Broadhurst,1st Policeman,25,2
101,Tommy Hollis,2nd Policeman,26,2
101,Peter Linari,1st Security man,27,2
101,Arsène Jiroyan,Swat Hostage,28,2
101,Geoffrey Bateman,Swat Chief,29,2
101,Samy Naceri,Swat 1,30,2
101,Michel Montanary,Swat 5,31,2
101,Marc Andréoni,Swat 8,32,0
101,Gilles Kleber,Swat 9,33,2
101,Christophe Gautier,Swat 2,34,0
101,Junior Almeida,Swat 3,35,0
101,David Gregg,Swat 4,36,2
101,Didier Legros,Swat 7,37,0
101,Hervé Husson,Swat 6,38,0
680,John Travolta,Vincent Vega,0,2
680,Samuel L. Jackson,Jules Winfield,1,2
680,Uma Thurman,Mia Wallace,2,1
680,Bruce Willis,Butch Coolidge,3,2
680,Ving Rhames,Marsellus Wallace,4,2
680,Harvey Keitel,Wolf,5,2
680,Eric Stoltz,Lance,6,2
680,Tim Roth,Pumpkin,7,2
680,Amanda Plummer,Honey Bunny,8,1
680,Maria de Medeiros,Fabienne,9,1
680,Quentin Tarantino,Jimmie Dimmick,10,2
680,Christopher Walken,Captain Koons,11,2
680,Rosanna Arquette,Jody,12,1
680,Peter Greene,Zed,13,2
680,Duane Whitaker,Maynard,14,2
680,Angela Jones,Esmarelda Villalobos,15,1
680,Phil LaMarr,Marvin,16,2
680,Steve Buscemi,Buddy Holly,17,2
680,Bronagh Gallagher,Trudi,18,0
680,Laura Lovelace,Waitress,19,0
680,Frank Whaley,Brett,20,2
680,Burr Steers,Roger,21,0
680,Paul Calderon,Paul,22,2
680,Jerome Patrick Hoban,Ed Sullivan,23,2
680,Michael Gilden,Page for Phillip Morris,24,2
680,Gary Shorelle,Ricky Nelson,25,0
680,Susan Griffiths,Marilyn Monroe,26,1
680,Eric Clark,James Dean,27,0
680,Joseph Pilato,Dean Martin,28,2
680,Brad Blumenthal,Jerry Lewis,29,2
680,Lorelei Leslie,Mamie van Doren,30,1
680,Emil Sitka,Hold Hands You Lovebirds (archive footage),31,0
680,Brenda Hillhouse,Mrs. Coolidge - Butch's Mother,32,0
680,Chandler Lindauer,Young Butch,33,0
680,Sy Sher,Klondike,34,0
680,Robert Ruth,Sportscaster #1 - Coffee Shop,35,0
680,Rich Turner,Sportscaster #2,36,0
680,Don Blakely,Wilson's Trainer,37,2
680,Carl Allen,Dead Floyd Wilson,38,0
680,Karen Maruyama,Gawker #1,39,1
680,Kathy Griffin,Hit-and-run Witness,40,1
680,Venessia Valentino,Pedestrian / Bonnie Dimmick,41,1
680,Linda Kaye,Shot Woman,42,1
680,Stephen Hibbert,The Gimp,43,2
680,Alexis Arquette,Man No. 4,44,1
680,Julia Sweeney,Raquel,45,1
680,Lawrence Bender,Long Hair Yuppy Scum,46,2
680,Cie Allman,Winston Wolfe's Girlfriend At Party (uncredited),47,1
680,Rene Beard,Bar Tender (uncredited),48,2
680,Lori Pizzo,Lucky Lady (uncredited),49,1
680,Glendon Rich,Drug Dealer (uncredited),50,2
680,Devan Richardson,Hopalong Cassidy (uncredited),51,0
680,Ani Sava,Woman in Bathroom (uncredited),52,1
680,Philip Ettington,Michael (uncredited),53,2
278,Tim Robbins,Andy Dufresne,0,2
278,Morgan Freeman,Ellis Boyd 'Red' Redding,1,2
278,Bob Gunton,Warden Samuel Norton,2,2
278,Clancy Brown,Captain Byron T. Hadley,3,2
278,Mark Rolston,Bogs Diamond,4,2
278,James Whitmore,Brooks Hatlen,5,2
278,Gil Bellows,Tommy,6,2
278,William Sadler,Heywood,7,2
278,Jeffrey DeMunn,1946 D.A.,8,0
278,Larry Brandenburg,Skeet,9,2
278,Neil Giuntoli,Jigger,10,2
278,Brian Libby,Floyd,11,0
278,David Proval,Snooze,12,2
278,Joseph Ragno,Ernie,13,2
278,Jude Ciccolella,Guard Mert,14,2
278,Paul McCrane,Guard Trout,15,2
278,Renee Blaine,Andy Dufresne's Wife,16,0
278,Scott Mann,Glenn Quentin,17,0
278,John Horton,1946 Judge,18,0
278,Gordon Greene,1947 Parole Hearings Man,19,0
278,Alfonso Freeman,Fresh Fish Con,20,2
278,V.J. Foster,Hungry Fish Con,21,0
278,Frank Medrano,Fat Ass,22,0
278,Mack Miles,Tyrell,23,0
278,Gary Lee Davis,Rooster,24,2
278,Ned Bellamy,Guard Youngblood,25,2
278,Brian Delate,Guard Dekins,26,2
278,Don McManus,Guard Wiley,27,2
278,Dorothy Silver,1954 Landlady,28,0
278,Dion Anderson,Head Bull Haig,29,2
278,Robert Haley,1954 Food-Way Manager,30,2
278,Bill Bolender,Elmo Blatch,31,2
